"scenario_value","empirical_crude","empirical_adjusted","truth","theoretical_crude","theoretical_adjusted"
0.5,0.0339320736593715,0.0389520530427597,0.000494087434532664,0.0342745121713482,0.0384284578964745
0.75,0.036471030774828,0.0390151238551837,0.00558557759390765,0.0325485671729355,0.038483423799273
1,0.0312902995435293,0.0391424516247257,0.00110809279958063,0.0310288163677798,0.0384713102233247
1.25,0.0290365253138323,0.0389908207138862,0.000666160602357524,0.0295072457048007,0.0383648055801865
1.5,0.0278802773266109,0.0389582383494741,0.0007719598603107,0.0282923935747865,0.038500760394471
1.75,0.0265598613103644,0.0390944177086249,0.000574509633927633,0.0268986728294205,0.0382142551675477
2,0.0258678540325551,0.0390008699772094,0.00113832341859726,0.025836060370085,0.0383579078419221
2.25,0.0266770276852082,0.0392320570675376,0.00264096071388303,0.0250022462416882,0.038695708673321
2.5,0.0236079072932263,0.0390124245806369,0.000346406228214913,0.0239385339724803,0.0383758028513424
2.75,0.0261171180869862,0.0389860939639433,0.00318248811902272,0.0232096610390179,0.0388865691313759
3,0.0267837323996721,0.0389623014824484,0.00476101851194344,0.0222039510220894,0.0383264166386748
